"(-0.017515916377305984, 0.03113667294383049, 0.08145464956760406)","(0.009709379635751247, 0.011848274618387222, 0.06270838528871536)","(0.021404646337032318, -0.015911893919110298, 0.046284645795822144)","(0.01954168826341629, -0.043639205396175385, 0.01848425716161728)","(0.00986347533762455, -0.06323942542076111, -0.006681582424789667)","(0.024621009826660156, -0.00648694671690464, -0.0012973668053746223)","(0.019673146307468414, -0.02913081832230091, -0.012227804400026798)","(0.011627236381173134, -0.04980497062206268, -0.003624424571171403)","(1.9583851099014282e-05, -0.06541671603918076, 0.010738888755440712)","(0.002583323046565056, -0.00042451603803783655, -0.0019110734574496746)","(-0.00038387253880500793, -0.03661639988422394, -0.006930430419743061)","(-0.0020435918122529984, -0.03939139470458031, 0.021736497059464455)","(0.001123722642660141, -0.03051881119608879, 0.045501500368118286)","(-0.01665698178112507, 0.004213118460029364, -0.0012481563026085496)","(-0.020926352590322495, -0.02842044271528721, 0.0026223505847156048)","(-0.015615914016962051, -0.030072588473558426, 0.026760084554553032)","(-0.01143617369234562, -0.017105629667639732, 0.048749830573797226)","(-0.0360853336751461, 0.007311420515179634, 0.01196344755589962)","(-0.03563053905963898, -0.01773707941174507, 0.01364039909094572)","(-0.026546603068709373, -0.02299387753009796, 0.034034352749586105)","(-0.02699897065758705, -0.011334497481584549, 0.04870106279850006)"
"(-0.01549215242266655, 0.03235112875699997, 0.08044593781232834)","(0.010582284070551395, 0.006563062779605389, 0.06560254842042923)","(0.018503008410334587, -0.025443416088819504, 0.049305614084005356)","(0.011471819132566452, -0.05058591440320015, 0.02318107709288597)","(-0.004247009754180908, -0.06255532801151276, -0.005575481336563826)","(0.02435973845422268, -0.009985891170799732, -0.0004960015066899359)","(0.016391336917877197, -0.03203088045120239, -0.011213632300496101)","(0.00910910777747631, -0.04980243369936943, -0.004964702297002077)","(0.0003656689077615738, -0.06357824802398682, 0.004926095716655254)","(0.0031049922108650208, -0.0010956467594951391, -0.002401201520115137)","(-0.00224914588034153, -0.03544113039970398, -0.007297531235963106)","(-0.004434067755937576, -0.037611015141010284, 0.020814750343561172)","(-0.0012622252106666565, -0.028742225840687752, 0.04575257748365402)","(-0.015657026320695877, 0.008088480681180954, -0.0014160339487716556)","(-0.020855234935879707, -0.027949169278144836, 0.0011553731746971607)","(-0.017096608877182007, -0.02965611219406128, 0.027513669803738594)","(-0.013513827696442604, -0.016212478280067444, 0.04558395966887474)","(-0.03567053750157356, 0.00961734727025032, 0.0120626762509346)","(-0.03743848204612732, -0.015649380162358284, 0.01575641706585884)","(-0.032683372497558594, -0.017954565584659576, 0.037076085805892944)","(-0.03180284798145294, -0.006185609847307205, 0.04727621376514435)"
"(0.011702115647494793, 0.08496475219726562, 0.034130990505218506)","(0.03353086858987808, 0.055179860442876816, 0.025481250137090683)","(0.049545396119356155, 0.026705406606197357, 0.01832970418035984)","(0.052184224128723145, -0.00034924037754535675, -0.001973505597561598)","(0.04303429648280144, -0.021203812211751938, -0.0174550823867321)","(0.018137414008378983, -0.011860255151987076, 0.015262461267411709)","(0.01110182236880064, -0.04195089638233185, 0.010278597474098206)","(0.0097164586186409, -0.06758514046669006, 0.004751849919557571)","(0.006317307241261005, -0.08769649267196655, -0.013149210251867771)","(-0.001981307752430439, -0.005982684902846813, 0.005847900174558163)","(0.015047125518321991, -0.018967755138874054, -0.024073094129562378)","(0.03180331736803055, 7.425714284181595e-05, -0.028572501614689827)","(0.03510517627000809, 0.015051580965518951, -0.013323714956641197)","(-0.013335180468857288, 0.006012193858623505, -0.009235113859176636)","(0.005937297362834215, -0.0005876714130863547, -0.033941879868507385)","(0.021646762266755104, 0.015026493929326534, -0.035192761570215225)","(0.022218629717826843, 0.033340081572532654, -0.02078419178724289)","(-0.02108796127140522, 0.027187611907720566, -0.019825633615255356)","(-0.01240707840770483, 0.012971274554729462, -0.03679316118359566)","(0.004846310708671808, 0.013716365210711956, -0.04757101833820343)","(0.014138944447040558, 0.02636631205677986, -0.046912163496017456)"
"(0.021944856271147728, 0.08817184716463089, 0.014853528700768948)","(0.04688585177063942, 0.06166786700487137, 0.004459539894014597)","(0.0661509707570076, 0.03683121129870415, -0.0014500096440315247)","(0.06248791515827179, 0.008034074679017067, -0.01487649604678154)","(0.04051271453499794, -0.007975837215781212, -0.029904069378972054)","(0.022917577996850014, -0.011397629976272583, 0.011159383691847324)","(0.012121566571295261, -0.038687579333782196, 0.006867848336696625)","(0.007235243916511536, -0.06267344951629639, 0.0006661947700195014)","(0.00234451936557889, -0.08240000903606415, -0.01887771487236023)","(-0.002418831456452608, -0.005833741277456284, 0.007757284212857485)","(0.009268129244446754, -0.02527381107211113, -0.022492200136184692)","(0.020488863810896873, -0.009022570215165615, -0.03451192006468773)","(0.026587877422571182, 0.0055647315457463264, -0.019785797223448753)","(-0.01746799610555172, 0.0032712502870708704, -0.0061472621746361256)","(-0.0048407516442239285, -0.010247547179460526, -0.03182962164282799)","(0.009570552967488766, 0.007832955569028854, -0.03438865393400192)","(0.013047641143202782, 0.024914730340242386, -0.025167105719447136)","(-0.02437533810734749, 0.02336280792951584, -0.016002150252461433)","(-0.02274383045732975, 0.004840911366045475, -0.033272016793489456)","(-0.00596120860427618, 0.0067026191391050816, -0.04237242788076401)","(-0.0032758808229118586, 0.026292290538549423, -0.037664756178855896)"
"(-0.0017765555530786514, 0.058482151478528976, 0.06951401382684708)","(0.020336095243692398, 0.031476568430662155, 0.05973448231816292)","(0.029014164581894875, 0.0007780846208333969, 0.04409673064947128)","(0.02569349855184555, -0.027058348059654236, 0.013175565749406815)","(0.01017875224351883, -0.04098668694496155, -0.015679432079195976)","(0.023613877594470978, -0.013369395397603512, 0.007722672540694475)","(0.011987213045358658, -0.04715070500969887, 0.0033057043328881264)","(0.003862142562866211, -0.07396045327186584, 0.0139565858989954)","(-0.0070402249693870544, -0.09995726495981216, 0.022711586207151413)","(0.0022153425961732864, -0.0031385149341076612, 0.0002340180508326739)","(-0.002461112104356289, -0.0351981595158577, -0.009812148287892342)","(-0.005008768290281296, -0.04908691719174385, -0.00014666668721474707)","(-0.004720021039247513, -0.052339471876621246, 0.013041580095887184)","(-0.014721233397722244, 0.007322533987462521, -0.005743746180087328)","(-0.01633228175342083, -0.023430103436112404, -0.00510699488222599)","(-0.0063674417324364185, -0.013160505332052708, 0.01836870051920414)","(0.002646873239427805, 0.005448033567517996, 0.03826969489455223)","(-0.034608177840709686, 0.019569702446460724, -0.0001780997554305941)","(-0.03197786957025528, -0.007076167035847902, -0.0029943124391138554)","(-0.019180668517947197, -0.006667535286396742, 0.016545571386814117)","(-0.015420740470290184, 0.007181826513260603, 0.034785281866788864)"
"(-0.006799621507525444, 0.04902933910489082, 0.08216860145330429)","(0.014252647757530212, 0.015203341841697693, 0.06956396251916885)","(0.023795776069164276, -0.007134360261261463, 0.04713780805468559)","(0.025551969185471535, -0.02909068576991558, 0.012605356052517891)","(0.010838612914085388, -0.03785567358136177, -0.017289679497480392)","(0.019525501877069473, -0.01404554396867752, 0.0024196987506002188)","(0.014418591745197773, -0.04692090302705765, -0.005134898703545332)","(0.008136814460158348, -0.07359461486339569, 0.003595188492909074)","(-0.0010382570326328278, -0.09978333115577698, 0.009967971593141556)","(0.00247464282438159, -0.0016961258370429277, -0.002327572088688612)","(-0.012392384000122547, -0.030087407678365707, -0.007249629590660334)","(-0.025013919919729233, -0.0459914430975914, 0.011383320204913616)","(-0.028771065175533295, -0.05006452649831772, 0.03496188297867775)","(-0.012392058968544006, 0.00880180113017559, -0.00396066764369607)","(-0.02257394790649414, -0.02707289159297943, 0.005142948590219021)","(-0.019094157963991165, -0.024619247764348984, 0.030474809929728508)","(-0.0044974684715271, -0.011934980750083923, 0.049456316977739334)","(-0.03106215037405491, 0.01920994743704796, 0.0057382662780582905)","(-0.03293823078274727, -0.00864533893764019, 0.010379280894994736)","(-0.02281140722334385, -0.014325818046927452, 0.032824963331222534)","(-0.018367595970630646, -2.03670933842659e-05, 0.05313390865921974)"
"(-0.0017200056463479996, 0.08023189008235931, 0.05048714205622673)","(0.02102544531226158, 0.05545728653669357, 0.03835576772689819)","(0.039406225085258484, 0.03576992452144623, 0.022645216435194016)","(0.04713428393006325, 0.011244312860071659, -0.00021912128431722522)","(0.040909212082624435, -0.008006113581359386, -0.021774230524897575)","(0.016433604061603546, -0.009788637049496174, 0.012532806023955345)","(0.01466429978609085, -0.038326162844896317, 0.005053773056715727)","(0.02162090130150318, -0.060437772423028946, 0.0029843905940651894)","(0.020682359114289284, -0.07972995191812515, -0.010363667272031307)","(-0.0016596722416579723, -0.006894214078783989, 0.005872220266610384)","(0.016485977917909622, -0.017434734851121902, -0.023612990975379944)","(0.027395809069275856, 0.004648739937692881, -0.030821701511740685)","(0.02963310293853283, 0.01792191155254841, -0.012328201904892921)","(-0.013321183621883392, 0.004670990165323019, -0.007805983070284128)","(0.006554214283823967, 0.0012275025947019458, -0.03147953376173973)","(0.016466379165649414, 0.018722841516137123, -0.027578799054026604)","(0.017275266349315643, 0.03548310324549675, -0.008959362283349037)","(-0.02415423095226288, 0.02403007447719574, -0.014933085069060326)","(-0.01116623543202877, 0.015158903785049915, -0.029252704232931137)","(0.004520786926150322, 0.024667751044034958, -0.03372925519943237)","(0.0061483848839998245, 0.03568919003009796, -0.020831508561968803)"
"(-0.012589164078235626, 0.08525896072387695, 0.04573991522192955)","(0.013020291924476624, 0.05985036864876747, 0.043876130133867264)","(0.03899993374943733, 0.04073601961135864, 0.02582087554037571)","(0.05584900081157684, 0.018904371187090874, -0.0052188667468726635)","(0.05133629962801933, 0.0007764417678117752, -0.035413552075624466)","(0.014111773110926151, -0.013724470511078835, 0.01947612315416336)","(0.018578477203845978, -0.038581352680921555, 0.004887110088020563)","(0.02340197190642357, -0.05944390222430229, -0.0012201432837173343)","(0.023942764848470688, -0.07852432876825333, -0.020209653303027153)","(-0.002389349974691868, -0.006906954571604729, 0.004813819658011198)","(0.028463313356041908, -0.008078435435891151, -0.015199542045593262)","(0.03956310823559761, 0.013448702171444893, -0.0017162180738523602)","(0.03048727475106716, 0.026219181716442108, 0.02011657878756523)","(-0.01167701929807663, 0.007078147958964109, -0.012343809008598328)","(0.018673788756132126, 0.0138480793684721, -0.02365938015282154)","(0.026686571538448334, 0.03026369772851467, -0.01030659768730402)","(0.019185945391654968, 0.04151511564850807, 0.012636702507734299)","(-0.019211620092391968, 0.029312720522284508, -0.02247535064816475)","(0.0035645617172122, 0.028468869626522064, -0.03116663359105587)","(0.021586891263723373, 0.036333657801151276, -0.021170027554035187)","(0.017371971160173416, 0.04526238143444061, -0.005347918719053268)"
"(-0.005078284069895744, 0.07233890891075134, 0.05747000500559807)","(0.01763695478439331, 0.04657682031393051, 0.047892097383737564)","(0.03832649439573288, 0.027427133172750473, 0.03155989199876785)","(0.04801854118704796, 0.008773409761488438, -0.0029047017451375723)","(0.03904787451028824, -0.0002733226865530014, -0.02909444086253643)","(0.012767147272825241, -0.015646081417798996, 0.01429582480341196)","(0.015133164823055267, -0.03458934277296066, -0.0043120477348566055)","(0.01887158304452896, -0.05021606385707855, -0.013724121265113354)","(0.01664084754884243, -0.06460535526275635, -0.03928699344396591)","(-0.001958482665941119, -0.006965968757867813, 0.0038362862542271614)","(0.02446506917476654, -0.0041760848835110664, -0.015485300682485104)","(0.03633272647857666, 0.017221905291080475, -0.0015758249210193753)","(0.0314210020005703, 0.027621261775493622, 0.021740291267633438)","(-0.010549206286668777, 0.008636122569441795, -0.01013348437845707)","(0.016609573736786842, 0.018654346466064453, -0.022057348862290382)","(0.026715293526649475, 0.03383282944560051, -0.007043652702122927)","(0.018312523141503334, 0.04203059524297714, 0.018182596191763878)","(-0.019043006002902985, 0.03210068121552467, -0.014904522337019444)","(0.003149406984448433, 0.03475532680749893, -0.020821861922740936)","(0.01501422468572855, 0.039785780012607574, -0.010594083927571774)","(0.008170759305357933, 0.04145604372024536, 0.007563035935163498)"
"(-0.01837121695280075, 0.05930017679929733, 0.07148370891809464)","(0.007005664519965649, 0.03459016978740692, 0.05811908841133118)","(0.029156405478715897, 0.017685437574982643, 0.03969231992959976)","(0.04547173157334328, 0.00778951495885849, 0.005385061725974083)","(0.045305605977773666, 0.004326452501118183, -0.020782960578799248)","(0.013506749644875526, -0.016214389353990555, 0.011832294054329395)","(0.01804952137172222, -0.02971162460744381, -0.012258261442184448)","(0.022903800010681152, -0.04290711134672165, -0.023389481008052826)","(0.018907353281974792, -0.056140363216400146, -0.05212024599313736)","(-0.0015503610484302044, -0.0065871598199009895, 0.0019929734990000725)","(0.029005516320466995, 0.0005172202363610268, -0.013662931509315968)","(0.04061732068657875, 0.01740260422229767, 0.002087909961119294)","(0.03399542719125748, 0.024035822600126266, 0.025839785113930702)","(-0.00865824706852436, 0.009487679228186607, -0.008286258205771446)","(0.019029203802347183, 0.019778970628976822, -0.01739656552672386)","(0.02864798717200756, 0.03371629863977432, 0.0009903194149956107)","(0.016964472830295563, 0.0365065336227417, 0.024790242314338684)","(-0.019895819947123528, 0.031616877764463425, -0.007723762653768063)","(0.004819730296730995, 0.03614802658557892, -0.01209358498454094)","(0.016875121742486954, 0.04092114418745041, -0.00025125208776444197)","(0.006835214793682098, 0.03983417898416519, 0.01822349615395069)"
